Name,NormScore,Return,Starts,Active Starts,% Active
Alexandre Lacazette,14.03,16.15,22,19,86.36
Bernd Leno,9.89,-31.5,35,12,34.29
Bukayo Saka,12.88,4.35,30,19,63.33
Calum Chambers,12.98,7,8,5,62.5
Cedric Soares,10.62,-1.65,8,5,62.5
Dani Ceballos,13.79,13.7,17,17,100
David Luiz,9.6,-7.9,17,4,23.53
Eddie Nketiah,12.47,-17.4,4,3,75
Emile Smith Rowe,13.38,-23.3,18,14,77.78
Gabriel Magalhaes,10.88,-22.05,22,10,45.45
Gabriel Martinelli,15.11,-6.55,7,7,100
Granit Xhaka,8.99,-8.4,29,6,20.69
Hector Bellerin,11.51,-2,24,15,62.5
Kieran Tierney,11.38,14,26,12,46.15
Martin Odegaard,11.43,0.35,9,1,11.11
Mat Ryan,8.04,0,14,0,0
Mohamed Elneny,8.72,-10.5,17,3,17.65
Nicolas Pepe,15.79,31.6,16,14,87.5
Pablo Mari,10.39,-0.45,10,2,20
Pierre-Emerick Aubameyang,11.4,2.1,26,13,50
Reiss Nelson,12.8,0,0,0,0
Rob Holding,10.39,-4.1,10,1,10
Runar Alex Runarsson,18.35,0,0,0,0
Sead Kolasinac,5,-7,1,1,100
Shkodran Mustafi,10.9,0,0,0,0
Thomas Partey,13.14,-27.8,18,10,55.56
Willian,12.05,1.25,16,10,62.5
Ahmed El Mohamady,12.76,12.1,8,8,100
Anwar El Ghazi,14.63,27.95,17,9,52.94
Bertrand Traore,14.72,0.1,29,23,79.31
Carney Chukwuemeka,15.62,0,0,0,0
Conor Hourihane,13.19,1.95,3,3,100
Douglas Luiz,9.82,-24.35,32,6,18.75
Emiliano Martinez,12.72,38.5,38,23,60.53
Ezri Konsa Ngoyo,10.38,-12,35,10,28.57
Jack Grealish,17.35,138.7,24,22,91.67
Jacob Ramsey,11.59,-22.05,6,4,66.67
Jaden Philogene-Bidace,15.6,0,0,0,0
John McGinn,11.71,-26.75,37,18,48.65
Keinan Davis,15.96,-4.75,1,1,100
Kortney Hause,12.11,-0.35,7,5,71.43
Marvelous Nakamba,11.63,-6.3,9,2,22.22
Matt Targett,12.68,15.65,38,21,55.26
Matthew Cash,13.42,16.5,28,23,82.14
Morgan Sanson,10.02,-6,3,1,33.33
Neil Taylor,0,0,0,0,0
Ollie Watkins,12.92,2,37,24,64.86
Ross Barkley,12.64,-13.15,18,14,77.78
Trezeguet,16.04,-17.1,12,11,91.67
Tyone Mings,11.66,7.4,36,19,52.78
Wesley,16.73,0,0,0,0
Aaron Connolly,11.63,-27.75,9,4,44.44
Adam Lallana,11.9,-16.6,16,9,56.25
Adam Webster,11.07,-1.6,29,9,31.03
Alexis Mac Allister,13.48,-30.15,13,9,69.23
Alireza Jahanbakhsh,13.85,-28.25,6,5,83.33
Andi Zeqiri,11.16,0,0,0,0
Ben White,10.82,-14.05,36,8,22.22
Bernardo,8.67,0,2,0,0
Dan Burn,11.16,6.3,23,7,30.43
Danny Welbeck,11.76,-27.45,17,10,58.82
Davy Propper,14.14,0,2,0,0
