Name,NormScore,Return,Starts,Active Starts,% Active
Milot Rashica,10.69,-6.1,25,2,8
Ozan Kabak,10.55,0,11,0,0
Pierre Lees-Melou,11.94,-7.55,27,5,18.52
Przemyslaw Placheta,11.93,0,6,0,0
Sam Byram,11.47,1.5,11,5,45.45
Teemu Pukki,9.34,-8.5,37,4,10.81
Tim Krul,10.07,-22.5,29,5,17.24
Todd Cantwell,9.28,0,5,0,0
Tony Springett,7,0,1,0,0
Adam Armstrong,10.27,-7.3,17,3,17.65
Alex McCarthy,9.79,-12.5,17,3,17.65
Armando Broja,11.2,-28.85,21,8,38.1
Che Adams,12.78,-8.55,23,16,69.57
Fraser Forster,10.47,-25.5,19,6,31.58
Ibrahima Diallo,12.67,7.5,10,6,60
Jack Stephens,10.8,-2.4,9,1,11.11
James Ward-Prowse,14.25,46.9,36,27,75
Jan Bednarek,11.78,-10.65,30,16,53.33
Kyle Walker-Peters,12.61,13.45,29,14,48.28
Lyanco,11.64,-3.05,9,2,22.22
Mohamed Elyounoussi,11.5,-26.45,23,9,39.13
Mohammed Salisu,11.59,12.9,33,16,48.48
Moussa Djenepo,10.49,0,5,0,0
Nathan Redmond,12.84,-23.5,20,12,60
Nathan Tella,11.51,-10.55,10,2,20
Oriol Romeu,12.14,-21.45,34,11,32.35
Romain Perraud,9.58,-7.15,18,3,16.67
Shane Long,13.34,-18,3,3,100
Stuart Armstrong,12.73,-12.55,15,10,66.67
Theo Walcott,9.78,-7.5,5,1,20
Valentino Livramento,12.91,22.5,25,14,56
William Smallbone,14.81,-8.5,2,1,50
Willy Caballero,6.5,0,2,0,0
Yan Valery,12.36,-1.4,3,1,33.33
Ben Davies,11.07,-16.25,28,15,53.57
Bryan Gil,13.09,0,0,0,0
Cristian Romero,12.15,-4.9,21,13,61.9
Dane Scarlett,17.9,0,0,0,0
Davinson Sanchez,14.56,39.2,17,15,88.24
Dejan Kulusevski,18.14,48,14,13,92.86
Emerson Royal,13.6,17.5,26,18,69.23
Eric Dier,10.61,-21.3,35,14,40
Giovani Lo Celso,15.78,-11,2,2,100
Harry Kane,15.2,125.7,36,26,72.22
Harry Winks,11.71,-9.25,9,6,66.67
Hugo Lloris,11.26,-17,38,22,57.89
Japhet Tanganga,11.16,-16.75,10,5,50
Joe Rodon,9.45,0,0,0,0
Kouassi Ryan Sessegnon,12.29,-38.05,13,9,69.23
Lucas Moura,15.52,12.45,19,17,89.47
Matt Doherty,17.04,29.4,9,9,100
Oliver Skipp,8.15,-8.75,14,1,7.14
Pierre-Emile Hojbjerg,12,-7.15,36,28,77.78
Rodrigo Bentancur,12.09,-23.1,16,10,62.5
Sergio Reguilon,14.98,22.5,22,20,90.91
Son Heung-Min,19.12,174.8,35,34,97.14
Steven Bergwijn,14.6,-7.2,4,3,75
