,Name,NormScore,Return,Starts,Active Starts,% Active, Expected Pts ,Ranker
417,Jeffrey Schlupp,12.21,-17.85,11,6,54.55,4.92,2.85
318,Victor Lindelof,8.77,-8.85,35,9,25.71,2.83,2.832857143
505,Kepa Arrizabalaga,8.24,-38.75,33,11,33.33,2.83,2.825757576
390,James McArthur,11.14,-15.95,37,10,27.03,2.81,2.812162162
292,Martin Kelly,10.46,-6.65,17,5,29.41,3.14,2.807894737
299,Javier Manquillo,11.56,-7.05,18,5,27.78,2.94,2.786842105
312,Ahmed El Mohamady,11.91,-8.35,11,5,45.45,4.69,2.718421053
491,Roberto Pereyra,11.04,-32.35,17,7,41.18,3.04,2.718421053
89,Che Adams,13.47,3.6,12,4,33.33,4.3,2.715789474
437,Lucas Torreira,11.54,-20.65,17,6,35.29,3.02,2.702631579
493,Luka Milivojevic,10.78,-33.25,28,9,32.14,2.67,2.669642857
494,Moussa Djenepo,14.29,-33.6,10,7,70,5.04,2.652631579
328,Dwight Gayle,11.82,-10.45,10,5,50,4.96,2.607894737
413,Erik Pieters,11.01,-17.65,21,6,28.57,2.59,2.588095238
498,Douglas Luiz,11.58,-36.3,28,9,32.14,2.56,2.560714286
124,Andy Carroll,13.55,0,4,4,100,12,2.526315789
499,Sead Kolasinac,9.88,-36.3,19,7,36.84,2.51,2.510526316
429,Andreas Christensen,8.69,-19.35,21,6,28.57,2.51,2.507142857
353,Juan Mata,10.97,-12.4,8,5,62.5,5.95,2.505263158
470,Cedric Soares,12.59,-24.9,19,6,31.58,2.48,2.478947368
473,Steven Bergwijn,12.56,-25.55,8,6,75,5.81,2.444736842
502,Dejan Lovren,9,-37.85,9,7,77.78,5.13,2.428947368
69,Ruben Vinagre,13.63,9.3,6,3,50,7.55,2.384210526
73,Luke Thomas,15.23,8.65,3,3,100,14.88,2.35
273,Federico Fernandez,10.1,-4.7,29,6,20.69,2.32,2.320689655
246,Oriol Romeu,11.74,-1.6,20,4,20,2.32,2.32
347,John Lundstram,11.99,-11.75,26,6,23.08,2.32,2.317307692
474,Lewis Dunk,10.58,-25.75,36,9,25,2.28,2.284722222
348,David Luiz,8.66,-11.9,32,7,21.88,2.25,2.253125
408,Eric Dier,10.07,-17.25,15,5,33.33,2.85,2.25
351,Mark Noble,10.36,-12.2,32,7,21.88,2.24,2.24375
414,Calum Chambers,11.54,-17.65,13,5,38.46,3.26,2.228947368
509,Joseph Willock,14.06,-41.7,8,7,87.5,5.29,2.226315789
286,Scott Dann,10.44,-5.95,14,4,28.57,3,2.213157895
422,James McCarthy,10.78,-18.55,16,5,31.25,2.59,2.181578947
251,Ben Mee,11.34,-2.4,32,6,18.75,2.18,2.175
88,Ashley Westwood,11,3.9,35,6,17.14,2.17,2.168571429
300,Angelino,11.82,-7.1,4,4,100,10.23,2.152631579
426,Reiss Nelson,13.33,-19.15,7,5,71.43,5.84,2.15
432,Hamza Choudhury,11.87,-19.9,10,5,50,4.01,2.110526316
410,Isaac Hayden,10.42,-17.3,26,6,23.08,2.1,2.103846154
74,Joel Ward,9.84,8.35,27,4,14.81,2.09,2.087037037
90,Daniel Podence,14.4,3.5,3,3,100,13.17,2.078947368
241,Jan Bednarek,10.04,-1.45,34,6,17.65,2.08,2.075
91,Moise Kean,13.01,3.35,6,3,50,6.56,2.071052632
314,Shkodran Mustafi,10.94,-8.65,13,4,30.77,3.03,2.071052632
450,Neal Maupay,10.08,-22,30,7,23.33,2.07,2.066666667
316,Mesut Ozil,9.98,-8.75,18,4,22.22,2.18,2.065789474
95,Daryl Janmaat,12.94,2.75,7,3,42.86,5.54,2.039473684
105,Solly March,11.63,1.7,11,3,27.27,3.43,1.984210526
