GW,HOME,AWAY,HOME538,AWAY538,FIXTURE_CODE,HOME_SCORE,AWAY_SCORE
14,LIV,BHA,87,3,LIVBHA,,
14,TOT,BOU,66,15,TOTBOU,,
14,BUR,CRY,46,27,BURCRY,,
14,SOU,WAT,45,30,SOUWAT,,
14,WOL,SHU,51,22,WOLSHU,,
14,NOR,ARS,30,47,NORARS,,
14,MUN,AVL,60,18,MUNAVL,,
14,LEI,EVE,58,17,LEIEVE,,
15,CRY,BOU,45,29,CRYBOU,,
15,BUR,MCI,11,74,BURMCI,,
15,CHE,AVL,76,9,CHEAVL,,
15,MUN,TOT,38,38,MUNTOT,,
15,SOU,NOR,53,23,SOUNOR,,
15,LEI,WAT,68,12,LEIWAT,,
15,WOL,WHU,50,25,WOLWHU,,
15,LIV,EVE,76,8,LIVEVE,,
15,SHU,NEW,49,24,SHUNEW,,
15,ARS,BHA,55,22,ARSBHA,,
16,EVE,CHE,29,47,EVECHE,,
16,TOT,BUR,65,15,TOTBUR,,
16,WAT,CRY,43,30,WATCRY,,
16,BOU,LIV,14,68,BOULIV,,
16,MCI,MUN,79,7,MCIMUN,,
16,AVL,LEI,26,50,AVLLEI,,
16,NEW,SOU,41,32,NEWSOU,,
16,NOR,SHU,38,35,NORSHU,,
16,BHA,WOL,40,32,BHAWOL,,
16,WHU,ARS,37,39,WHUARS,,
17,LIV,WAT,85,4,LIVWAT,,
17,CHE,BOU,74,10,CHEBOU,,
17,BUR,NEW,52,23,BURNEW,,
17,LEI,NOR,79,6,LEINOR,,
17,SHU,AVL,45,29,SHUAVL,,
17,SOU,WHU,47,29,SOUWHU,,
17,MUN,EVE,53,22,MUNEVE,,
17,WOL,TOT,31,44,WOLTOT,,
17,ARS,MCI,15,68,ARSMCI,,
17,CRY,BHA,45,28,CRYBHA,,
18,EVE,ARS,47,28,EVEARS,,
18,AVL,SOU,45,30,AVLSOU,,
18,NEW,CRY,41,30,NEWCRY,,
18,BOU,BUR,46,28,BOUBUR,,
18,BHA,SHU,46,27,BHASHU,,
18,NOR,WOL,32,42,NORWOL,,
18,MCI,LEI,75,9,MCILEI,,
18,WAT,MUN,30,44,WATMUN,,
18,TOT,CHE,43,34,TOTCHE,,
19,TOT,BHA,66,15,TOTBHA,,
19,AVL,NOR,53,24,AVLNOR,,
19,CHE,SOU,76,9,CHESOU,,
19,EVE,BUR,54,31,EVEBUR,,
19,CRY,WHU,45,28,CRYWHU,,
19,BOU,ARS,39,36,BOUARS,,
19,SHU,WAT,43,29,SHUWAT,,
19,MUN,NEW,65,13,MUNNEW,,
19,LEI,LIV,26,50,LEILIV,,
19,WOL,MCI,15,66,WOLMCI,,
20,BHA,BOU,47,27,BHABOU,,
20,NEW,EVE,31,41,NEWEVE,,
20,SOU,CRY,46,27,SOUCRY,,
20,WAT,AVL,49,26,WATAVL,,
20,WHU,LEI,27,49,WHULEI,,
20,NOR,TOT,20,59,NORTOT,,
20,BUR,MUN,30,43,BURMUN,,
20,ARS,CHE,28,48,ARSCHE,,
20,LIV,WOL,76,8,LIVWOL,,
20,MCI,SHU,85,4,MCISHU,,
21,BUR,AVL,50,25,BURAVL,,
21,BHA,CHE,22,55,BHACHE,,
21,NEW,LEI,24,51,NEWLEI,,
21,SOU,TOT,27,49,SOUTOT,,
21,WAT,WOL,37,35,WATWOL,,
21,MCI,EVE,79,7,MCIEVE,,
21,WHU,BOU,44,31,WHUBOU,,
21,NOR,CRY,37,35,NORCRY,,
21,ARS,MUN,35,40,ARSMUN,,
21,LIV,SHU,83,4,LIVSHU,,
22,SHU,WHU,46,28,SHUWHU,,
22,CRY,ARS,36,37,CRYARS,,
22,CHE,BUR,71,11,CHEBUR,,
22,EVE,BHA,52,22,EVEBHA,,
22,MUN,NOR,69,12,MUNNOR,,
22,LEI,SOU,63,16,LEISOU,,
22,WOL,NEW,62,15,WOLNEW,,
22,TOT,LIV,27,51,TOTLIV,,
22,BOU,WAT,40,33,BOUWAT,,
22,AVL,MCI,11,75,AVLMCI,,
23,WAT,TOT,34,41,WATTOT,,
23,MCI,CRY,86,4,MCICRY,,
23,WHU,EVE,36,38,WHUEVE,,
23,ARS,SHU,51,23,ARSSHU,,
23,SOU,WOL,38,35,SOUWOL,,
23,BHA,AVL,53,24,BHAAVL,,
23,NOR,BOU,37,36,NORBOU,,
23,NEW,CHE,16,62,NEWCHE,,
23,BUR,LEI,29,45,BURLEI,,
23,LIV,MUN,65,15,LIVMUN,,
24,AVL,WAT,36,39,AVLWAT,,
24,EVE,NEW,62,15,EVENEW,,
24,CRY,SOU,43,30,CRYSOU,,
24,BOU,BHA,39,34,BOUBHA,,
24,SHU,MCI,16,64,SHUMCI,,
24,CHE,ARS,65,15,CHEARS,,
24,TOT,NOR,73,10,TOTNOR,,
24,LEI,WHU,63,16,LEIWHU,,
24,MUN,BUR,65,13,MUNBUR,,
24,WOL,LIV,22,55,WOLLIV,,
24,WHU,LIV,14,69,WHULIV,,
25,LEI,CHE,35,40,LEICHE,,
25,LIV,SOU,83,5,LIVSOU,,
25,NEW,NOR,47,26,NEWNOR,,
25,WHU,BHA,43,31,WHUBHA,,
25,CRY,SHU,40,30,CRYSHU,,
25,WAT,EVE,42,31,WATEVE,,
25,BOU,AVL,46,30,BOUAVL,,
25,MUN,WOL,48,26,MUNWOL,,
25,BUR,ARS,37,36,BURARS,,
25,TOT,MCI,24,55,TOTMCI,,
26,EVE,CRY,57,18,EVECRY,,
26,BHA,WAT,43,31,BHAWAT,,
26,SHU,BOU,49,23,SHUBOU,,
26,WOL,LEI,41,32,WOLLEI,,
26,SOU,BUR,49,25,SOUBUR,,
26,NOR,LIV,10,74,NORLIV,,
26,AVL,TOT,25,53,AVLTOT,,
26,ARS,NEW,61,17,ARSNEW,,
26,CHE,MUN,54,23,CHEMUN,,
26,MCI,WHU,87,4,MCIWHU,,
27,CHE,TOT,54,23,CHETOT,,
27,BUR,BOU,46,28,BURBOU,,
27,SOU,AVL,51,26,SOUAVL,,
27,CRY,NEW,52,21,CRYNEW,,
27,SHU,BHA,47,25,SHUBHA,,
27,LEI,MCI,22,56,LEIMCI,,
27,MUN,WAT,61,16,MUNWAT,,
27,WOL,NOR,67,11,WOLNOR,,
27,ARS,EVE,42,32,ARSEVE,,
27,LIV,WHU,86,4,LIVWHU,,
28,NOR,LEI,23,52,NORLEI,,
28,BHA,CRY,50,23,BHACRY,,
28,NEW,BUR,35,37,NEWBUR,,
28,WHU,SOU,43,32,WHUSOU,,
28,BOU,CHE,20,57,BOUCHE,,
28,WAT,LIV,17,62,WATLIV,,
28,EVE,MUN,33,41,EVEMUN,,
28,TOT,WOL,46,28,TOTWOL,,
29,LIV,BOU,83,5,LIVBOU,,
29,ARS,WHU,56,22,ARSWHU,,
29,SOU,NEW,55,20,SOUNEW,,
29,CRY,WAT,37,35,CRYWAT,,
29,WOL,BHA,62,15,WOLBHA,,
29,SHU,NOR,58,16,SHUNOR,,
29,BUR,TOT,29,45,BURTOT,,
29,CHE,EVE,57,20,CHEEVE,,
29,MUN,MCI,30,47,MUNMCI,,
29,LEI,AVL,65,15,LEIAVL,,
30,AVL,SHU,35,39,AVLSHU,,
30,MCI,ARS,77,8,MCIARS,,
30,NOR,SOU,37,36,NORSOU,,
