player,pre,club_pos_id
Aaron Ramsdale,10.6,1
Bernd Leno,9.6,2
Takehiro Tomiyasu,12.7,3
Cedric Soares,11.95,4
Ben White,11,5
Rob Holding,10.75,6
Gabriel Magalhaes,11.35,7
Pablo Mari,8.9,8
Kieran Tierney,13.1,9
Nuno Tavares,12.35,10
Sead Kolasinac,6.8,11
Mohamed Elneny,11.6,12
Thomas Partey,11.95,13
Albert Sambi Lokonga,11.55,14
Granit Xhaka,9.05,15
Ainsley Maitland-Niles,11.2,16
Martin Odegaard,12.75,17
Emile Smith Rowe,15.75,18
Bukayo Saka,15.25,19
Gabriel Martinelli,16.25,20
Nicolas Pepe,14.85,21
Reiss Nelson,12.9,22
Folarin Balogun,11,23
Pierre-Emerick Aubameyang,10.75,24
Alexandre Lacazette,12.2,25
Eddie Nketiah,14.8,26
Emiliano Martinez,9.7,1
Robin Olsen,5.5,2
Jed Steer,3.5,3
Matthew Cash,13.2,4
Calum Chambers,11.5,5
Axel Tuanzebe,10.1,6
Tyrone Mings,10.55,7
Ezri Konsa Ngoyo,8.8,8
Kortney Hause,16,9
Lucas Digne,12.3,10
Ashley Young,10.5,11
Marvelous Nakamba,11.6,12
Douglas Luiz,11.15,13
Morgan Sanson,15.25,14
Carney Chukwuemeka,12.6,15
Tim Iroegbunam,14.3,16
John McGinn,12.9,17
Jacob Ramsey,11.8,18
Jaden Philogene-Bidace,5.25,19
Philippe Coutinho,16,20
Trezeguet,14.25,21
Emiliano Buendia,15.75,22
Bertrand Traore,13.4,23
Cameron Archer,6.35,24
Leon Bailey,13.85,25
Ollie Watkins,11.2,26
Wesley,15.6,27
Danny Ings,11.6,28
Keinan Davis,5.25,29
David Raya Martin,11.4,1
Alvaro Fernandez,9.9,2
Jonas Lossl,4,3
Kristoffer Ajer,11.9,4
Mads Bech Sorensen,8.4,5
Pontus Jansson,10.65,6
Zanka,10.05,7
Charlie Goode,9.95,8
Ethan Pinnock,12.1,9
Dominic Thompson,4.5,10
Mads Rasmussen,9.8,11
Rico Henry,11.6,12
Finley Stevens,17.5,13
Frank Onyeka,11.7,14
Mads Bidstrup,10.7,15
Shandon Baptiste,12.55,16
Christian Norgaard,12.8,17
Vitaly Janelt,12,18
Mathias Jensen,13.1,19
Pelenda Joshua Da Silva,10.65,20
Christian Eriksen,15.6,21
Tariqe Fosu-Henry,15.75,22
Yoane Wissa,15.3,23
Saman Ghoddos,15.05,24
Sergi Canos,12.3,25
Bryan Mbeumo,10.3,26
Marcus Forss,11.25,27
Ivan Toney,13.05,28
Nathan Young-Coombes,9.15,29
Robert Sanchez,10.1,1
Jason Steele,8.5,2
Joel Veltman,11.9,3
Adam Webster,10.8,4
Shane Duffy,10.8,5
Lewis Dunk,10.4,6
Tariq Lamptey,14.25,7
Marc Cucurella,13.35,8
Solly March,13.85,9
Pascal Gross,13.75,10
Yves Bissouma,12.5,11
Enock Mwepu,14.5,12
Steven Alzate,14.5,13
Jakub Moder,11.5,14
Adam Lallana,9.85,15
Moises Caicedo,12.9,16
Alexis Mac Allister,13.4,17
Leandro Trossard,12.3,18
Taylor Richards,12.9,19
Aaron Connolly,5.05,20
Neal Maupay,8.45,21
Danny Welbeck,13.15,22
Jeremy Sarmiento,12,23
Jurgen Locadia,0,24
Evan Ferguson,11.05,25
Nick Pope,11.25,1
Wayne Hennessey,12.75,2
Matthew Lowton,11.6,3
Connor Roberts,10.65,4
James Tarkowski,11.55,5
Ben Mee,12.25,6
Nathan Collins,12.4,7
Kevin Long,5.9,8
Charlie Taylor,11.65,9
Erik Pieters,14.6,10
Maxwel Cornet,13.2,11
Johann Gudmundsson,11.35,12
Aaron Lennon,9.9,13
Ashley Westwood,9.65,14
Jack Cork,7.1,15
Dale Stephens,5.8,16
Josh Brownhill,12.2,17
Dwight McNeil,13.45,18
Wout Weghorst,10.5,19
Ashley Barnes,9.15,20
Matej Vydra,12.1,21
Jay Rodriguez,11.25,22
Edouard Mendy,10.25,1
Kepa Arrizabalaga,12.6,2
Andreas Christensen,12.65,3
Thiago Silva,13.5,4
Antonio Rudiger,12,5
Malang Sarr,13.5,6
Ben Chilwell,18.5,7
Emerson,9.15,8
Reece James,17.85,9
Cesar Azpilicueta,12.75,10
Trevoh Chalobah,15.95,11
Marcos Alonso,16.5,12
Jorginho,13.15,13
Mateo Kovacic,14,14
Ngolo Kante,16.8,15
Saul Niguez,10,16
Ruben Loftus-Cheek,13.8,17
Ross Barkley,16.9,18
Kenedy,23.95,19
Kai Havertz,12.95,20
Callum Hudson-Odoi,12.4,21
Mason Mount,16.45,22
Christian Pulisic,13.1,23
Hakim Ziyech,15.95,24
Timo Werner,10.1,25
Romelu Lukaku,10.8,26
Vicente Guaita,11.1,1
Jack Butland,7.9,2
Joel Ward,10.2,3
Nathaniel Clyne,10.45,4
Addji Keaninkin Marc-Israel Guehi,10.3,5
Joachim Andersen,11.25,6
James Tomkins,8.55,7
Tyrick Mitchell,11.3,8
Nathan Ferguson,7.5,9
Cheikhou Kouyate,12.1,10
Luka Milivojevic,11.35,11
Conor Gallagher,13.75,12
Jairo Riedewald,12.2,13
James McArthur,15.1,14
Will Hughes,9.3,15
Jesurun Rak-Sakyi,10.6,16
Michael Olise,15.95,17
Eberechi Eze,13.95,18
Jeffrey Schlupp,15.1,19
Jordan Ayew,11.95,20
Wilfried Zaha,13.3,21
Odsonne Edouard,13.4,22
Christian Benteke,12.2,23
Jean-Philippe Mateta,13.05,24
