player,pre,club_pos_id
Andrew Omobamidele,8.95,9
Brandon Williams,8.8,10
Dimitris Giannoulis,9.65,11
Bali Mumba,9.65,12
Pierre Lees-Melou,10.35,13
Billy Gilmour,10.35,14
Mathias Antonsen Normann,10.35,15
Jacob Sorensen,10.35,16
Lukas Rupp,9.8,17
Todd Cantwell,12.95,18
Kieran Dowell,9,19
Kenny McLean,9.45,20
Przemyslaw Placheta,9.45,21
Milot Rashica,9.9,22
Tony Springett,9,23
Christos Tzolis,11.5,24
Joshua Sargent,11.5,25
Teemu Pukki,11.8,26
Adam Idah,10,27
Jonathan Rowe,9.45,28
Alex McCarthy,9.55,1
Fraser Forster,10.7,2
Willy Caballero,2,3
Kyle Walker-Peters,12.4,4
Valentino Livramento,10.65,5
Yan Valery,10.65,6
Jan Bednarek,11.1,7
Jack Stephens,10.35,8
Mohammed Salisu,11.45,9
Lyanco,10.35,10
Romain Perraud,10.65,11
Theo Walcott,11.65,12
Nathan Tella,9.9,13
Mohamed Elyounoussi,10.75,14
William Smallbone,9.5,15
Oriol Romeu,11.5,16
Ibrahima Diallo,11.2,17
James Ward-Prowse,13.9,18
Stuart Armstrong,12.95,19
Moussa Djenepo,11.75,20
Nathan Redmond,12.15,21
Armando Broja,11.25,22
Che Adams,12.8,23
Adam Armstrong,12.4,24
Shane Long,10.75,25
Hugo Lloris,10.55,1
Japhet Tanganga,10,2
Cristian Romero,10.95,3
Davinson Sanchez,9.45,4
Eric Dier,9.85,5
Joe Rodon,11.3,6
Ben Davies,11.1,7
Emerson Royal,12.75,8
Matt Doherty,12.65,9
Sergio Reguilon,12.7,10
Pierre-Emile Hojbjerg,10.45,11
Tanguy Ndombele,13.5,12
Harry Winks,8.7,13
Oliver Skipp,9.95,14
Rodrigo Bentancur,12,15
Giovani Lo Celso,13.2,16
Kouassi Ryan Sessegnon,13.75,17
Dejan Kulusevski,12,18
Lucas Moura,14.5,19
Son Heung-Min,15.95,20
Bryan Gil,16.95,21
Steven Bergwijn,10.9,22
Harry Kane,18.45,23
Dane Scarlett,9.95,24
Ben Foster,10.5,1
Daniel Bachmann,10.5,2
Jeremy Ngakia,10.45,3
Nicolas Nkoulou,10.45,4
Francisco Femenia Far,11,5
Craig Cathcart,9.15,6
William Troost-Ekong,10.6,7
Christian Kabasele,9.85,8
Francisco Sierralta,10.25,9
Samir,10.25,10
Adam Masina,8.1,11
Danny Rose,11.1,12
Hassane Kamara,11.1,13
Peter Etebo,12,14
Moussa Sissoko,9.5,15
Tom Cleverley,9.6,16
Imran Louza,9.5,17
Ozan Tufan,10.3,18
Juraj Kucka,11.1,19
Edo Kayembe,11.1,20
Dan Gosling,11.15,21
Ken Sema,9.4,22
Ismaila Sarr,15.5,23
Emmanuel Dennis,11.5,24
Cucho Hernandez,11.6,25
Joao Pedro,12.35,26
Joshua King,11.1,27
Troy Deeney,9.35,28
Ashley Fletcher,9.35,29
Samuel Kalu,9.35,30
Lukasz Fabianski,10.1,1
Alphonse Areola,10.6,2
Vladimir Coufal,12.8,3
Ben Johnson,10.7,4
Ryan Fredericks,14.2,5
Kurt Zouma,12.1,6
Harrison Ashby,9.45,7
Craig Dawson,10.85,8
Angelo Ogbonna,10.4,9
Issa Diop,9.45,10
Aaron Cresswell,12.6,11
Arthur Masuaku,14.1,12
Mark Noble,9.5,13
Declan Rice,11.65,14
Tomas Soucek,13.25,15
Daniel Chesters,10.5,16
Pablo Fornals,13.1,17
Manuel Lanzini,15.45,18
Alex Kral,10.5,19
Sonny Perkins,10.5,20
Nikola Vlasic,13.6,21
Jarrod Bowen,13.2,22
Said Benrahma,15.35,23
Andriy Yarmolenko,11.2,24
Michail Antonio,14.65,25
Jose Sa,9.6,1
John Ruddy,9.25,2
Ki-Jana Hoever,11.3,3
Maximilian Kilman,11.25,4
Willy Boly,11.1,5
Conor Coady,8.8,6
Romain Saiss,12.55,7
Toti,10.5,8
Jonny,10.1,9
Nelson Semedo,12.9,10
Marcal,11.4,11
Rayan Ait-Nouri,12.1,12
Leander Dendoncker,9.85,13
Joao Moutinho,12.15,14
Ruben Neves,13.5,15
Morgan Gibbs-White,13.15,16
Luke Cundle,11,17
Daniel Podence,12.45,18
Trincao,13.2,19
Hwang Hee-Chan,13.95,20
Raul Jimenez,11.9,21
Fabio Silva,11.4,22
Adama Traore,14.35,23
Chiquinho,13.25,24
Pedro Neto,15.25,25
Chem Campbell,11.5,26
